first	second
RAC1	KANSL1L
OPTN	KANSL1L
UBC	RBM47
YWHAE	RBM47
YWHAZ	RBM47
ELAVL1	RBM47
ESR2	RBM47
RNF2	RBM47
HSD3B7	RBM47
UBC	TTC26
WIPI2	TTC26
UBC	TMEM129
PDGFRL	TMEM129
APP	E2F8
EWSR1	E2F8
TFCP2	E2F8
FHL3	E2F8
HIF1A	E2F8
ZDHHC17	E2F8
LZTR1	E2F8
E2F7	E2F8
AHCYL1	UBA6
EED	UBA6
PYGB	UBA6
GNPDA1	UBA6
RAD23A	UBA6
RAD23B	UBA6
NPEPPS	UBA6
YWHAE	UBA6
YWHAH	UBA6
TSN	UBA6
ELAVL1	UBA6
TRNT1	UBA6
CCDC8	UBA6
EHD1	UBA6
XPNPEP1	UBA6
AIPL1	UBA6
NUBP2	UBA6
FN1	ESYT2
UBC	ESYT2
SLC2A4	ESYT2
SUMO2	ESYT2
YWHAE	ESYT2
CLN3	ESYT2
BECN1	ESYT2
MAPK15	ESYT2
CAMKK2	ESYT2
ESYT1	ESYT2
DERL1	ESYT2
ECT2	ESYT2
WIPI2	ESYT2
ESYT2	ESYT3
ESRRB	MED19
NFKBIA	MED19
DCK	MED19
MSX1	MED19
YWHAE	MED19
MAPK6	MED19
ZC3H13	MED19
DHRS7B	MED19
MED27	MED19
FBXW7	MED19
MED8	MED19
RADIL	MED19
FOXP3	MED19
MED17	MED19
TFCP2L1	MED19
NTN1	UHRF1BP1L
DDX58	UHRF1BP1L
YWHAB	UHRF1BP1L
ATXN1	UHRF1BP1L
AHCYL1	SHTN1
BBOX1	SHTN1
SEC24A	SHTN1
FABP3	SHTN1
TPM1	SHTN1
UBC	SHTN1
NEDD4	SHTN1
YWHAE	SHTN1
ESRRG	SHTN1
TFCP2	SHTN1
LNX1	SHTN1
SIRT1	SHTN1
MEGF10	SHTN1
OGFR	SHTN1
UBA2	SHTN1
TRMT6	SHTN1
NME7	SHTN1
PSAT1	SHTN1
IKBKG	SHTN1
H3F3A	DHRS12
SLC25A5	TMEM223
UBC	TMEM223
EEF1G	TMEM223
COA3	TMEM223
CNBP	TLDC2
PIN1	TLDC2
RAB6B	TLDC2
SP1	FEZF1
GABRR1	FEZF1
KRT6B	KRT13
KRT2	KRT13
C1orf216	KRT13
KLC4	KRT13
C1orf109	KRT13
LYN	LNP1
EHHADH	CCDC102B
AK8	CCDC102B
UBC	ARHGAP10
YWHAQ	ARHGAP10
PKN3	ARHGAP10
SHMT2	CCDC189
STAT4	IRGM
ABCF1	IRGM
TNS2	KRTAP23-1
RBPMS	KRTAP23-1
STAT4	ANO9
UBC	SLC22A23
PSMA3	SLC22A23
KRTAP5-9	SLC22A23
UBC	BICDL2
RAB3A	BICDL2
RAB13	BICDL2
RAB10	BICDL2
RAB40B	BICDL2
RAB30	BICDL2
RAB12	BICDL2
RAB24	BICDL2
RAB40C	BICDL2
UBC	FAM168B
PARP2	FAM168B
UBC	PXDNL
CUL3	PXDNL
GAPDH	MEX3A
B2M	MEX3A
CDX2	MEX3A
PRKAB2	ILVBL
PPP6R2	ILVBL
FLOT1	ILVBL
EGFR	ILVBL
MYC	ILVBL
ADRB2	ILVBL
HNRNPC	ILVBL
UBC	ILVBL
UBL4A	ILVBL
XRCC6	ILVBL
PRKAA2	ILVBL
SUMO2	ILVBL
YWHAE	ILVBL
YWHAZ	ILVBL
CLN3	ILVBL
ILK	ILVBL
CUL3	ILVBL
BECN1	ILVBL
ATG2A	ILVBL
CEP76	ILVBL
MMS19	ILVBL
ATG10	ILVBL
HSD3B7	ILVBL
ECT2	ILVBL
PPP6R1	ILVBL
WIPI2	ILVBL
H2AFY	ERICH2
IWS1	ERICH2
UBC	UBE2QL1
NPRL2	UBE2QL1
INPP1	SYCE3
SYCE2	SYCE3
HAUS1	SYCE3
BLOC1S6	SYCE3
EED	PLEKHG3
UBC	PLEKHG3
CCDC8	PLEKHG3
KRTAP5-9	NUFIP2
ILF3	ELOVL7
CERS2	ELOVL7
GRB2	NUTM2F
ZNF148	NUTM2F
TRAF1	SSC5D
MED21	SSC5D
NECAB2	SSC5D
DTNBP1	SSC5D
EXOC7	SSC5D
SEC23IP	SSC5D
LATS1	FSD2
FAM107A	FSD2
ESD	FSD2
ZNF20	FSD2
PSMB4	FSD2
AQP1	FSD2
CORO1A	FSD2
PBX3	FSD2
BEX3	FSD2
FMR1	FSD2
AES	FSD2
PPP2R5D	FSD2
ZNF124	FSD2
ZSCAN26	FSD2
FAM161A	FSD2
ZC2HC1C	FSD2
CDC73	FSD2
ZNF410	FSD2
FAM90A1	FSD2
IFT20	FSD2
CCHCR1	FSD2
PIK3R3	FSD2
LENG1	FSD2
ZNF587	FSD2
NDN	FSD2
BEX2	FSD2
SPATC1L	FSD2
BRD8	FSD2
SH2D4A	FSD2
CBX8	FSD2
ZNF581	FSD2
POLL	FSD2
ZNF230	FSD2
MRPL11	FSD2
UBC	SH3PXD2B
FASLG	SH3PXD2B
YWHAE	SH3PXD2B
GRB2	SH3PXD2B
SH3KBP1	SH3PXD2B
HDAC8	SH3PXD2B
DIS3	SH3PXD2B
UBC	FAM92A
APPBP2	FAM92A
CBY1	FAM92A
NCOR1	ZBTB7C
BCOR	ZBTB7C
CDC5L	ZBTB7C
UBC	MACROD2
TERF1	MACROD2
TERF2	MACROD2
RPGRIP1L	ZC3H12D
ATG5	TTC24
UVRAG	TTC24
YWHAE	CXorf23
CD247	MAP1B
MEF2D	CCDC78
UBC	ZNF320
SUMO3	ZNF320
SHMT2	WDR27
TCF4	TMEM213
MAT2A	TMEM213
ZW10	NBAS
OLFM2	NBAS
UBC	NBAS
RINT1	NBAS
NIPSNAP2	TARSL2
UBC	TARSL2
TARS	TARSL2
ATG101	TARSL2
DDA1	TARSL2
KLF13	HEATR9
CREB3L1	TMEM218
UBC	TESPA1
TRIM39	SMCO3
UBC	HYKK
YWHAE	HYKK
TRIP6	HYKK
GMCL1	HYKK
USP38	HMX2
STAMBPL1	HMX2
UBC	FAM234B
FRMD5	FAM234B
UBC	CCDC66
CSNK2A1	XKRY
UBC	CCDC144A
MYC	DENND3
UBC	DENND3
YAP1	DENND3
MAP1LC3A	DENND3
MTUS2	DCDC2B
KRT40	DCDC2B
BANP	DCDC2B
NUDCD1	FUOM
MYC	KIAA0922
UBC	KIAA0922
FBXO6	KIAA0922
CBX5	ZNF568
TNF	SSPO
ATN1	SSPO
ATXN7L1	SSPO
UBC	VWA8
KEAP1	VWA8
NUDCD1	VWA8
LGR4	VWA8
UBC	SBNO1
SEC24C	SBNO1
SUMO2	SBNO1
JAG1	SBNO1
SSRP1	SBNO1
PBDC1	SBNO1
CD247	DDX1
KCTD13	LAMB4
PRKAG2	LAMB4
UBC	CPED1
YWHAE	ISPD
ZNF322	ISPD
PSENEN	GSAP
CEP76	ZNF804B
UBC	GTPBP10
